date,unique_authors,category:bank_blocks_compliance,category:benchmark_reference,category:cash_atm,category:crossborder_howto,category:crypto,category:exchange_intent,category:family_support,category:fees_cost,category:partial_fill,category:rate_information,category:rent_study_medical,category:salary_income,category:successful_close,category:timing_forecast,category:trust_safety,category:urgency,category:willing_to_wait,direction:kzt_to_rub,direction:need_eur,direction:need_kzt_offer_unknown,direction:need_rub_offer_unknown,direction:rub_to_kzt,direction:unclassified,events,explicit_rates,messages,probable_listings,strict_listings,text_messages,kzt_per_rub,market_return_1d,market_abs_return_1d,market_90d_percentile,strict_listing_share,rate_information_share,timing_forecast_share,urgency_share_in_strict,rub_to_kzt_share_classified,direction_net
2024-09-22,63,1,0,22,12,5,0,0,10,0,14,8,3,2,2,8,0,1,0,0,0,0,0,1,336,0,336,1,1,334,5.166189389193801,-0.006359194399332302,0.006359194399332302,0.022222222222222223,0.002976190476190476,0.041666666666666664,0.005952380952380952,0.0,,
2024-09-23,99,2,0,13,8,4,2,1,6,0,22,4,3,4,0,6,1,0,1,0,0,0,0,0,411,0,411,3,1,408,5.252757021384269,0.01675657349526194,0.01675657349526194,0.14444444444444443,0.0024330900243309003,0.0535279805352798,0.0,1.0,0.0,-1.0
2024-09-24,93,5,0,24,9,2,0,0,18,1,23,5,4,1,4,4,1,1,1,0,0,0,0,2,444,0,444,3,3,437,5.169882563945889,-0.015777325526574626,0.015777325526574626,0.03333333333333333,0.006756756756756757,0.0518018018018018,0.009009009009009009,0.3333333333333333,0.0,-1.0
2024-09-25,90,7,0,24,10,17,0,0,15,0,5,2,1,2,0,10,1,0,0,0,0,0,0,0,385,0,385,0,0,371,5.197523984358948,0.0053466244293103315,0.0053466244293103315,0.044444444444444446,0.0,0.012987012987012988,0.0,,,
2024-09-26,74,6,1,8,8,1,0,0,5,0,22,3,3,4,2,6,0,1,0,0,1,0,0,1,206,0,206,2,2,205,5.172467538278799,-0.004820842800447256,0.004820842800447256,0.044444444444444446,0.009708737864077669,0.10679611650485436,0.009708737864077669,0.0,1.0,1.0
2024-09-27,82,3,0,8,9,2,1,1,7,0,17,2,3,0,2,12,0,1,0,0,0,0,0,1,313,0,313,2,1,311,5.089898695587379,-0.015963143718229267,0.015963143718229267,0.011111111111111112,0.003194888178913738,0.054313099041533544,0.006389776357827476,0.0,,
2024-09-28,70,0,0,21,8,5,0,0,10,1,5,3,2,0,1,3,1,0,0,0,0,0,0,1,294,0,294,1,1,290,5.089898695587379,0.0,0.0,0.022222222222222223,0.003401360544217687,0.017006802721088437,0.003401360544217687,1.0,,
2024-09-29,60,0,0,16,11,0,0,3,4,0,8,1,1,0,1,5,0,0,0,0,0,0,0,1,272,0,272,1,1,271,5.088691928439572,-0.00023709060238319424,0.00023709060238319424,0.011111111111111112,0.003676470588235294,0.029411764705882353,0.003676470588235294,0.0,,
2024-09-30,88,7,0,21,11,1,0,1,10,0,10,2,1,0,2,8,0,1,0,0,0,1,0,1,366,0,366,2,2,363,5.172432353635955,0.016456178989412873,0.016456178989412873,0.07777777777777778,0.00546448087431694,0.0273224043715847,0.00546448087431694,0.0,0.0,-1.0
2024-10-01,78,5,0,9,9,4,1,0,0,0,5,3,1,0,1,3,2,1,0,0,0,0,0,0,271,0,271,0,0,269,5.015989634183366,-0.03024548389552506,0.03024548389552506,0.011111111111111112,0.0,0.01845018450184502,0.0036900369003690036,,,
2024-10-02,72,2,0,19,7,1,1,0,4,0,8,1,5,0,4,9,0,0,0,0,0,0,0,0,327,0,327,0,0,325,5.049646479063367,0.006709911170994731,0.006709911170994731,0.022222222222222223,0.0,0.024464831804281346,0.012232415902140673,,,
2024-10-03,67,3,0,21,6,1,0,1,7,0,9,2,4,2,0,10,1,0,0,0,0,0,0,0,238,0,238,0,0,234,5.1123031883757735,0.012408137791861451,0.012408137791861451,0.06666666666666667,0.0,0.037815126050420166,0.0,,,
