stage,scope,config_id,date_first,date_last,signals,hit_rate,lift,forward_delta_bps,symmetric_delta_bps,regret_bps,brier,logloss,auc,ece10,rows,dates,mean_signals_per_corridor_week,min_cell_week_coverage,mean_cell_week_coverage
march2026_retrospective,all,synth_full2010_D3,2026-03-03,2026-08-25,142.0,0.4154929577464789,1.089780469341408,18.057777998655954,15.53570782095778,96.86762228887403,0.23186169763880124,0.664412517466779,0.6625493789915871,0.13182472005650078,610,122,1.1295454545454546,0.9583333333333334,0.9916666666666666
march2026_retrospective,all,synth_no_oxr,2026-03-03,2026-08-25,142.0,0.4225352112676056,1.1075805719473446,15.908367421803023,13.911980464447256,99.52784261453066,0.23196307208930497,0.6639735475756863,0.6654921961270932,0.13165721348622703,610,122,1.1295454545454546,0.9583333333333334,0.9833333333333334
march2026_retrospective,all,v3_long,2026-03-03,2026-08-25,141.0,0.425531914893617,1.1146642302421197,17.952508252989958,15.022182859995887,96.09288400109658,0.23235923898564068,0.6649067192325383,0.6650482121105179,0.13074532386044183,610,122,1.121590909090909,0.9583333333333334,0.9833333333333334
march2026_retrospective,KZT,small_basis2010_D2,2026-03-03,2026-08-25,30.0,0.36666666666666664,0.9319444444444446,2.870370277126305,3.3586482767557864,132.3451848707823,0.25902640318126613,0.7452871299551468,0.6024774774774775,0.1713587754541014,122,122,1.1931818181818181,1.0,1.0
march2026_retrospective,KZT,small_no_oxr,2026-03-03,2026-08-25,25.0,0.44,1.1183333333333334,38.43041228728931,27.79809510159678,101.14783756176828,0.2573560194159765,0.739450722949497,0.6038851351351351,0.17211007026160272,122,122,0.9943181818181819,0.875,0.875
march2026_retrospective,KZT,synth_availability2010_D2,2026-03-03,2026-08-25,27.0,0.4444444444444444,1.1296296296296298,26.431126558282124,21.79005907443187,106.03478343591615,0.2435726852008969,0.7001746162312501,0.6435810810810811,0.15142161948887345,122,122,1.0738636363636365,1.0,1.0
march2026_retrospective,KZT,synth_basis2010_D2,2026-03-03,2026-08-25,27.0,0.48148148148148145,1.2237654320987654,23.063466187114358,15.16085088170041,112.90347663180371,0.24366883931607045,0.7018091454201233,0.6421734234234234,0.15818280636160253,122,122,1.0738636363636365,0.9583333333333334,0.9583333333333334
march2026_retrospective,KZT,synth_basis2010_D3,2026-03-03,2026-08-25,28.0,0.42857142857142855,1.0892857142857144,22.760199076926774,16.24395325036821,107.94156365535989,0.2436058079675118,0.6981875829002384,0.6385135135135135,0.1488261635486872,122,122,1.1136363636363638,1.0,1.0
march2026_retrospective,KZT,synth_basis2018_D2,2026-03-03,2026-08-25,27.0,0.4444444444444444,1.1296296296296298,22.581090500567388,15.997384300428429,112.33759707734923,0.24521028945974666,0.7045733199147387,0.6407657657657657,0.14403087811073653,122,122,1.0738636363636365,1.0,1.0
march2026_retrospective,KZT,synth_full2010_D2,2026-03-03,2026-08-25,27.0,0.4444444444444444,1.1296296296296298,25.807007119384405,20.12676006110257,105.1510924005928,0.24278822865238758,0.6994388257411617,0.6483671171171171,0.14174415495201328,122,122,1.0738636363636365,1.0,1.0
