config_id,cutoff,scope,signals,hit_rate,lift,forward_delta_bps,symmetric_delta_bps,regret_bps,brier,logloss,auc,ece10,rows,dates,mean_signals_per_corridor_week,min_cell_week_coverage,mean_cell_week_coverage
synth_kzt_basis2010_halyk_D3,2023-01-01,KZT,56.0,0.375,1.0196629213483146,21.69185051225499,19.616257842039186,102.92712792151916,0.20408159462767048,0.5942834998358553,0.7467503855474774,0.10174548188667201,242,242,1.1264367816091954,0.9791666666666666,0.9791666666666666
synth_kzt_basis2010_halyk_D3,2024-01-01,KZT,47.0,0.3617021276595745,1.3522094926350245,14.376267474720828,11.591336885178643,114.69117691107421,0.19403149269333803,0.5738805469178937,0.6605877268798619,0.09223335320936134,243,243,0.94,0.8775510204081632,0.8775510204081632
synth_kzt_basis2010_halyk_D3,2025-01-01,KZT,43.0,0.3953488372093023,1.9932170542635659,58.43990144149272,43.137878330412946,107.84573680681603,0.15081975835343753,0.46897260627855536,0.6835266323024055,0.04968174838708657,242,242,0.8624641833810889,0.7755102040816326,0.7755102040816326
synth_kzt_basis2010_halyk_H1O2,2023-01-01,KZT,41.0,0.6585365853658537,1.7906275691970404,77.67158445224828,45.91090265784309,56.67942933063318,0.2043258886509475,0.5936199102508501,0.7713152676801057,0.1239541489464059,242,242,0.8247126436781609,0.7291666666666666,0.7291666666666666
synth_kzt_basis2010_halyk_H1O2,2024-01-01,KZT,47.0,0.425531914893617,1.5908346972176761,30.237645049110046,19.273612126568697,100.72581515169476,0.19135651708261703,0.5660723671965546,0.6635695764909249,0.07048463816743843,243,243,0.94,0.8775510204081632,0.8775510204081632
synth_kzt_basis2010_halyk_H1O2,2025-01-01,KZT,41.0,0.4146341463414634,2.0904471544715446,55.40129043206911,40.718867059146746,108.10743895845371,0.14737443728950994,0.46002231515633357,0.7088702749140894,0.0531342177069048,242,242,0.8223495702005731,0.7755102040816326,0.7755102040816326
synth_kzt_halyk_D1,2023-01-01,KZT,45.0,0.6,1.6314606741573034,59.16024592821627,46.37362592117734,67.08146541355741,0.18955920279119196,0.5619756696066843,0.7821840346625542,0.10131421810522871,242,242,0.9051724137931034,0.8125,0.8125
synth_kzt_halyk_D1,2024-01-01,KZT,45.0,0.4222222222222222,1.5784615384615384,40.04123473930485,29.400336780344773,90.66045615255112,0.1943344154694993,0.5738175584525422,0.6546672428694901,0.08733397158117037,243,243,0.9,0.8367346938775511,0.8367346938775511
synth_kzt_halyk_D1,2025-01-01,KZT,42.0,0.35714285714285715,1.800595238095238,52.98778103528256,39.90618641164802,110.44585753461232,0.14718508386037144,0.4589276744640378,0.7136490549828179,0.07316002087908319,242,242,0.842406876790831,0.7755102040816326,0.7755102040816326
synth_kzt_halyk_D2,2023-01-01,KZT,53.0,0.4716981132075472,1.2825948696205216,44.51637926070964,30.473953871790563,79.62736362488903,0.20245792048681885,0.5926405125514788,0.7446574135272086,0.10746975085006584,242,242,1.0660919540229885,0.9375,0.9375
synth_kzt_halyk_D2,2024-01-01,KZT,45.0,0.37777777777777777,1.4123076923076923,24.798114160147954,22.48640969306138,110.51703313732287,0.19917945449230182,0.5851822738945827,0.6554019014693173,0.0981609796763647,243,243,0.9,0.8571428571428571,0.8571428571428571
synth_kzt_halyk_D2,2025-01-01,KZT,52.0,0.28846153846153844,1.454326923076923,35.32260712640352,26.758249474106265,121.77532491737665,0.15034333010823966,0.46678228879622147,0.6903994845360826,0.02712879034083312,242,242,1.0429799426934099,0.9183673469387755,0.9183673469387755
synth_kzt_halyk_D3,2023-01-01,KZT,56.0,0.4107142857142857,1.1167736757624398,24.879077527029178,20.083969865855334,102.07116699403885,0.2038588133189361,0.5935482334666625,0.7459425717852683,0.10524261006913839,242,242,1.1264367816091954,0.9791666666666666,0.9791666666666666
synth_kzt_halyk_D3,2024-01-01,KZT,46.0,0.3695652173913043,1.3816053511705686,24.413101665726572,21.8314496357434,108.29493430328945,0.1951520581567418,0.5764644477025637,0.6613223854796888,0.11780849421808777,243,243,0.92,0.8775510204081632,0.8775510204081632
synth_kzt_halyk_D3,2025-01-01,KZT,37.0,0.40540540540540543,2.043918918918919,64.0140713808484,45.37526216492879,106.84614573299638,0.15005126726106235,0.4678455492927441,0.6843857388316152,0.05428134862732267,242,242,0.7421203438395416,0.6938775510204082,0.6938775510204082
synth_kzt_no_oxr,2023-01-01,KZT,57.0,0.47368421052631576,1.2879952690715553,29.846245836065272,26.522217388960573,87.32811168015647,0.19523903917568725,0.5744033734064113,0.7418667841668503,0.08213692107797957,242,242,1.146551724137931,1.0,1.0
synth_kzt_no_oxr,2024-01-01,KZT,48.0,0.3541666666666667,1.3240384615384615,13.724952319068612,7.248874701259105,111.47718481352167,0.18990750562742906,0.5664382488667529,0.6878997407087295,0.07161518222902324,243,243,0.96,0.8979591836734694,0.8979591836734694
synth_kzt_no_oxr,2025-01-01,KZT,44.0,0.4090909090909091,2.0625,60.484848041102765,43.57709835788085,104.88593191114957,0.15101679047596084,0.46970427105649637,0.6820231958762886,0.06026875090795396,242,242,0.8825214899713467,0.8163265306122449,0.8163265306122449
synth_no_oxr,2023-01-01,all,286.0,0.45104895104895104,1.1685132504865998,28.579217477451824,24.408887843976594,73.53717655153902,0.19953440057634167,0.5814327259334956,0.7567734256342566,0.08830516449071031,1210,242,1.150574712643678,0.9791666666666666,0.9833333333333332
synth_no_oxr,2023-01-01,KZT,57.0,0.47368421052631576,1.2879952690715553,29.846245836065272,26.522217388960573,87.32811168015647,0.19884421417465625,0.5817241204422493,0.7418667841668503,0.07375403004911063,242,242,1.146551724137931,1.0,1.0
synth_no_oxr,2024-01-01,all,227.0,0.45374449339207046,1.3643499591169257,29.0801041628012,14.498169731766389,81.4168036374185,0.19216242595530705,0.5679546541830411,0.7344993141289438,0.046629722441936784,1215,243,0.908,0.8163265306122449,0.8612244897959183
synth_no_oxr,2024-01-01,KZT,48.0,0.3541666666666667,1.3240384615384615,13.724952319068612,7.248874701259105,111.47718481352167,0.18849432264434715,0.561891663956863,0.6878997407087295,0.0715335751369227,243,243,0.96,0.8979591836734694,0.8979591836734694
synth_no_oxr,2025-01-01,all,218.0,0.40825688073394495,1.8540070586209862,72.73630282611825,50.69124330556511,86.48071448106833,0.16285788106354673,0.49594934657114187,0.6910808220046265,0.04754851862961861,1210,242,0.8744985673352436,0.7551020408163265,0.8204081632653061
synth_no_oxr,2025-01-01,KZT,44.0,0.4090909090909091,2.0625,60.484848041102765,43.57709835788085,104.88593191114957,0.1569732338247807,0.4826365593338019,0.6820231958762886,0.06388261569502919,242,242,0.8825214899713467,0.8163265306122449,0.8163265306122449
