scenario,period,segment,policy,contacts,relevant_contacts,shifted_transfers,planned_transfers,completed_transfers,organic_volume_rub,policy_volume_rub,gross_timing_value_rub,net_scenario_value_rub,execution_drag_rub,shifted_amount_rub,sum_advance_days,hurt_transfers,contact_target_sum,contact_forward_bps_sum,client_periods,exposure_weeks,contacts_per_client,contacts_per_client_week,relevance_rate,shift_rate_per_contact,shifted_fraction_of_transfers,gross_value_rub_per_client,net_scenario_value_rub_per_client,timing_bps_all_planned_volume,timing_bps_shifted_volume,conditional_contact_hit_rate,conditional_contact_forward_bps,incremental_volume_rub
base,2023-2025 OOT,monthly,user_aware,9973,5805,1927,15436,15436,727562329.9799291,727562329.9799291,434412.0990365164,424439.0990365164,0.0,90416724.10164444,6151,561,4441.0,552362.0389916953,1350,67307.14285714286,7.387407407407407,0.14817149527751247,0.5820715933019152,0.19322169858618268,0.12483804094324955,321.7867400270492,314.39933261964177,5.970788771437634,48.04554725386424,0.4453023162538855,55.385745411781336,0.0
base,2023-2025 OOT,monthly,weekly_fixed,68400,8770,2543,15436,15436,727562329.9799291,727562329.9799291,-100818.23384364639,-169218.2338436464,0.0,119023447.95424077,8258,1270,18630.0,-275063.9083495474,1350,67307.14285714286,50.666666666666664,1.0162368672397326,0.12821637426900584,0.037178362573099415,0.1647447525265613,-74.68017321751584,-125.34683988418251,-1.3856989248801215,-8.470451459481037,0.2723684210526316,-4.021402168853032,0.0
base,2023-2025 OOT,occasional,frequency_gate,7309,1656,560,5750,5750,562703670.9925017,562703670.9925017,230910.16992991272,223601.16992991272,0.0,53607040.247712016,3275,186,3301.0,401617.1007232413,1350,67307.14285714286,5.414074074074074,0.10859174360607025,0.22656998221370914,0.07661786838144753,0.09739130434782609,171.04457031845388,165.6304962443798,4.103583854760203,43.07459782575258,0.45163497058421126,54.948296719556886,0.0
base,2023-2025 OOT,occasional,market_only,59670,5216,1532,5750,5750,562703670.9925017,562703670.9925017,912273.215858742,852603.215858742,0.0,153214414.4917148,9480,495,27000.0,3251322.249347798,1350,67307.14285714286,44.2,0.8865329512893984,0.08741411094352271,0.025674543321602145,0.26643478260869563,675.7579376731422,631.5579376731422,16.21232031860866,59.5422577493891,0.45248868778280543,54.48839030246017,0.0
base,2023-2025 OOT,occasional,matched_calendar,6700,576,188,5750,5750,562703670.9925017,562703670.9925017,-58432.441719493014,-65132.441719493014,0.0,19562236.573646203,1172,98,1451.0,-226528.95668064212,1350,67307.14285714286,4.962962962962963,0.09954366974424281,0.08597014925373134,0.028059701492537312,0.03269565217391304,-43.28329016258742,-48.24625312555038,-1.0384229698809209,-29.870020996582706,0.2165671641791045,-33.81029204188688,0.0
base,2023-2025 OOT,occasional,matched_random_market,6700,708,231,5750,5750,562703670.9925017,562703670.9925017,205763.25931328547,199063.25931328547,0.0,23169731.484305482,1379,72,2959.0,352268.187294401,1350,67307.14285714286,4.962962962962963,0.09954366974424281,0.10567164179104478,0.034477611940298504,0.04017391304347826,152.4172291209522,147.45426615798922,3.6566894783245045,88.80692443616088,0.44164179104477613,52.57734138722403,0.0
base,2023-2025 OOT,occasional,user_aware,6700,3736,1272,5750,5750,562703670.9925017,562703670.9925017,726043.6926764642,719343.6926764642,0.0,125080277.204801,7829,403,3042.0,365927.9464863206,1350,67307.14285714286,4.962962962962963,0.09954366974424281,0.5576119402985075,0.18985074626865672,0.22121739130434784,537.8101427233069,532.8471797603438,12.902771567064097,58.04621710964646,0.45402985074626867,54.616111415868744,0.0
base,2023-2025 OOT,occasional,weekly_fixed,68400,5945,1645,5750,5750,562703670.9925017,562703670.9925017,-26209.61646365444,-94609.61646365444,0.0,161813272.64826202,9944,761,18630.0,-275063.9083495474,1350,67307.14285714286,50.666666666666664,1.0162368672397326,0.08691520467836257,0.024049707602339182,0.28608695652173916,-19.414530713818106,-70.08119738048477,-0.46578008665601356,-1.619744538547651,0.2723684210526316,-4.021402168853032,0.0
base,2026 diagnostic,frequent,frequency_gate,4992,1010,301,11156,11156,207880384.38956743,207880384.38956743,18394.36631959575,13402.36631959575,0.0,5544925.648206965,507,74,2368.0,304425.20988070156,450,14464.285714285716,11.093333333333334,0.3451259259259259,0.20232371794871795,0.06029647435897436,0.02698099677303693,40.876369599101665,29.783036265768335,0.8848533917045651,33.173332676776006,0.47435897435897434,60.982614158794384,0.0
base,2026 diagnostic,frequent,market_only,15120,2705,733,11156,11156,207880384.38956743,207880384.38956743,52630.095518699694,37510.095518699694,0.0,13292016.186591733,1209,177,7110.0,923384.7120023633,450,14464.285714285716,33.6,1.0453333333333332,0.1789021164021164,0.048478835978835975,0.0657045536034421,116.95576781933265,83.35576781933266,2.5317489994664912,39.595268904193844,0.47023809523809523,61.07041746047376,0.0
