scenario,seed,year,policy,mix,exposure_weeks,contacts,relevant_contacts,shifted_transfers,planned_transfers,completed_transfers,organic_volume_rub,policy_volume_rub,gross_timing_value_rub,net_scenario_value_rub,execution_drag_rub,shifted_amount_rub,sum_advance_days,hurt_transfers,contact_target_sum,contact_forward_bps_sum,relevance_rate,timing_bps_all_planned_volume,incremental_volume_rub
no_behavioral_response,4101,2025,user_aware,balanced,49.85714285714285,6.449999999999999,4.133333333333333,0.0,18.55,18.55,621040.7636845438,621040.7636845438,0.0,-6.449999999999999,0.0,0.0,0.0,0.0,2.4166666666666665,285.02411095411605,0.6408268733850129,0.0,0.0
no_behavioral_response,4101,2025,weekly_fixed,balanced,49.85714285714285,51.0,7.866666666666666,0.0,18.55,18.55,621040.7636845438,621040.7636845438,0.0,-51.0,0.0,0.0,0.0,0.0,10.0,-1716.1423804482838,0.15424836601307187,0.0,0.0
no_behavioral_response,4101,2026,frequency_gate,balanced,32.142857142857146,7.966666666666666,1.75,0.0,12.033333333333331,12.033333333333331,403989.1454036346,403989.1454036346,0.0,-7.966666666666666,0.0,0.0,0.0,0.0,3.5166666666666666,447.48943972735515,0.21966527196652721,0.0,0.0
no_behavioral_response,4101,2026,market_only,balanced,32.142857142857146,33.599999999999994,4.283333333333333,0.0,12.033333333333331,12.033333333333331,403989.1454036346,403989.1454036346,0.0,-33.599999999999994,0.0,0.0,0.0,0.0,15.8,2051.9660266719184,0.12748015873015875,0.0,0.0
no_behavioral_response,4101,2026,matched_calendar,balanced,32.142857142857146,5.1,0.7833333333333333,0.0,12.033333333333331,12.033333333333331,403989.1454036346,403989.1454036346,0.0,-5.1,0.0,0.0,0.0,0.0,2.0999999999999996,269.6086333303409,0.15359477124183007,0.0,0.0
no_behavioral_response,4101,2026,matched_random_market,balanced,32.142857142857146,5.1,0.8166666666666667,0.0,12.033333333333331,12.033333333333331,403989.1454036346,403989.1454036346,0.0,-5.1,0.0,0.0,0.0,0.0,2.65,357.7705962434283,0.16013071895424838,0.0,0.0
no_behavioral_response,4101,2026,user_aware,balanced,32.142857142857146,5.1,3.166666666666666,0.0,12.033333333333331,12.033333333333331,403989.1454036346,403989.1454036346,0.0,-5.1,0.0,0.0,0.0,0.0,2.25,318.43425914110503,0.6209150326797385,0.0,0.0
no_behavioral_response,4101,2026,weekly_fixed,balanced,32.142857142857146,33.0,4.266666666666667,0.0,12.033333333333331,12.033333333333331,403989.1454036346,403989.1454036346,0.0,-33.0,0.0,0.0,0.0,0.0,10.0,872.3993211885313,0.1292929292929293,0.0,0.0
base,4101,2023,frequency_gate,historical_tajik_monthly_share_stress,49.714285714285715,7.464,1.589,0.5680000000000001,6.897,6.897,491019.36999130854,491019.36999130854,936.9563831660648,929.4923831660647,0.0,53709.13072373709,2.551,0.11800000000000001,4.425000000000001,808.5445809549375,0.21288853161843513,19.081861947373884,0.0
base,4101,2023,market_only,historical_tajik_monthly_share_stress,49.714285714285715,42.60000000000001,4.734,1.2000000000000002,6.897,6.897,491019.36999130854,491019.36999130854,997.0373634030188,954.4373634030187,0.0,102136.95336972506,5.572,0.4,22.6,3437.365143812009,0.11112676056338026,20.30545889504659,0.0
