effective_date,available_at,symbol,normalized_value,normalized_unit
2020-12-26,2020-12-26 00:00:00+00:00,KZT,0.1756289999999999,RUB_per_KZT
2020-12-26,2020-12-26 00:00:00+00:00,USD,73.6921,RUB_per_USD
2020-12-29,2020-12-29 00:00:00+00:00,CNY,11.2742,RUB_per_CNY
2020-12-29,2020-12-29 00:00:00+00:00,KZT,0.175397,RUB_per_KZT
2020-12-29,2020-12-29 00:00:00+00:00,USD,73.7175,RUB_per_USD
2020-12-30,2020-12-30 00:00:00+00:00,CNY,11.2787,RUB_per_CNY
2020-12-30,2020-12-30 00:00:00+00:00,KZT,0.175148,RUB_per_KZT
2020-12-30,2020-12-30 00:00:00+00:00,USD,73.6567,RUB_per_USD
2020-12-31,2020-12-31 00:00:00+00:00,CNY,11.3119,RUB_per_CNY
2020-12-31,2020-12-31 00:00:00+00:00,KZT,0.175481,RUB_per_KZT
2020-12-31,2020-12-31 00:00:00+00:00,USD,73.8757,RUB_per_USD
2021-01-01,2021-01-01 00:00:00+00:00,CNY,11.2956,RUB_per_CNY
2021-01-01,2021-01-01 00:00:00+00:00,KZT,0.175252,RUB_per_KZT
2021-01-01,2021-01-01 00:00:00+00:00,USD,73.8757,RUB_per_USD
2021-01-12,2021-01-12 00:00:00+00:00,CNY,11.5082,RUB_per_CNY
2021-01-12,2021-01-12 00:00:00+00:00,KZT,0.1775069999999999,RUB_per_KZT
2021-01-12,2021-01-12 00:00:00+00:00,USD,74.5157,RUB_per_USD
2021-01-13,2021-01-13 00:00:00+00:00,CNY,11.483,RUB_per_CNY
2021-01-13,2021-01-13 00:00:00+00:00,KZT,0.176535,RUB_per_KZT
2021-01-13,2021-01-13 00:00:00+00:00,USD,74.2663,RUB_per_USD
2021-01-14,2021-01-14 00:00:00+00:00,CNY,11.3728,RUB_per_CNY
2021-01-14,2021-01-14 00:00:00+00:00,KZT,0.175443,RUB_per_KZT
2021-01-14,2021-01-14 00:00:00+00:00,USD,73.5264,RUB_per_USD
2021-01-15,2021-01-15 00:00:00+00:00,CNY,11.4089,RUB_per_CNY
2021-01-15,2021-01-15 00:00:00+00:00,KZT,0.1756879999999999,RUB_per_KZT
2021-01-15,2021-01-15 00:00:00+00:00,USD,73.7961,RUB_per_USD
2021-01-16,2021-01-16 00:00:00+00:00,CNY,11.3569,RUB_per_CNY
2021-01-16,2021-01-16 00:00:00+00:00,KZT,0.175321,RUB_per_KZT
2021-01-16,2021-01-16 00:00:00+00:00,USD,73.5453,RUB_per_USD
2021-01-19,2021-01-19 00:00:00+00:00,CNY,11.3907,RUB_per_CNY
2021-01-19,2021-01-19 00:00:00+00:00,KZT,0.175839,RUB_per_KZT
2021-01-19,2021-01-19 00:00:00+00:00,USD,73.9735,RUB_per_USD
2021-01-20,2021-01-20 00:00:00+00:00,CNY,11.3628,RUB_per_CNY
2021-01-20,2021-01-20 00:00:00+00:00,KZT,0.1755799999999999,RUB_per_KZT
