config_id,fold_test_year,signal_date,corridor,wait_cbr_rows,future_date,counterfactual_official_rate_change_while_waiting_bps,is_fast_slow_confirmation_pair
logit_plus_kazakhstan_official,2023,2023-11-17,KZT,3,2023-11-22,-143.00465439677112,False
logit_plus_kazakhstan_official,2023,2023-11-17,KZT,5,2023-11-24,9.080484223307206,False
logit_plus_kazakhstan_official,2023,2023-11-23,TJS,1,2023-11-24,-6.657566336564225,False
logit_plus_kazakhstan_official,2023,2023-11-23,TJS,2,2023-11-25,70.42612150803818,False
logit_plus_kazakhstan_official,2023,2023-11-23,TJS,3,2023-11-28,58.651172091879204,False
logit_plus_kazakhstan_official,2023,2023-11-23,TJS,5,2023-11-30,80.84720015799185,False
logit_plus_kazakhstan_official,2023,2023-11-29,KZT,1,2023-11-30,38.103631509369684,False
logit_plus_kazakhstan_official,2023,2023-11-29,KZT,2,2023-12-01,3.5770756110831137,False
logit_plus_kazakhstan_official,2023,2023-11-29,KZT,3,2023-12-02,159.41315223307885,False
logit_plus_kazakhstan_official,2023,2023-11-29,KZT,5,2023-12-06,291.50574146556306,False
logit_plus_kazakhstan_official,2023,2023-12-05,KZT,1,2023-12-06,74.44773180547148,False
logit_plus_kazakhstan_official,2023,2023-12-05,KZT,2,2023-12-07,212.68605589416012,False
logit_plus_kazakhstan_official,2023,2023-12-05,KZT,3,2023-12-08,224.05367138456535,False
logit_plus_kazakhstan_official,2023,2023-12-05,KZT,5,2023-12-12,90.07820310477976,False
logit_plus_kazakhstan_official,2023,2023-12-09,KZT,1,2023-12-12,-21.63035677542058,False
logit_plus_kazakhstan_official,2023,2023-12-09,KZT,2,2023-12-13,-124.9642421596231,False
logit_plus_kazakhstan_official,2023,2023-12-09,KZT,3,2023-12-14,-117.88795374817363,False
logit_plus_kazakhstan_official,2023,2023-12-09,KZT,5,2023-12-16,-120.1463436667205,False
logit_plus_kazakhstan_official,2023,2023-12-15,KZT,1,2023-12-16,3.8112080004881754,False
logit_plus_kazakhstan_official,2023,2023-12-15,KZT,2,2023-12-19,44.159196698985156,False
logit_plus_kazakhstan_official,2023,2023-12-15,KZT,3,2023-12-20,7.571599894302672,False
logit_plus_kazakhstan_official,2023,2023-12-15,KZT,5,2023-12-22,215.61274061426604,False
logit_plus_kazakhstan_official,2023,2023-12-21,KZT,1,2023-12-22,184.35397584501746,False
logit_plus_kazakhstan_official,2023,2023-12-21,KZT,2,2023-12-23,192.10504985004428,False
logit_plus_kazakhstan_official,2023,2023-12-21,KZT,3,2023-12-26,135.51714355191535,False
logit_plus_kazakhstan_official,2023,2023-12-21,KZT,5,2023-12-28,183.34076355677854,False
logit_plus_kazakhstan_official,2024,2024-01-10,TJS,1,2024-01-11,-105.95043846995056,False
logit_plus_kazakhstan_official,2024,2024-01-10,TJS,2,2024-01-12,-174.76973357222758,False
logit_plus_kazakhstan_official,2024,2024-01-10,TJS,3,2024-01-13,-244.32849969815206,False
logit_plus_kazakhstan_official,2024,2024-01-10,TJS,5,2024-01-17,-297.7522505376329,False
logit_plus_kazakhstan_official,2024,2024-01-16,AMD,1,2024-01-17,-6.520985084981223,False
logit_plus_kazakhstan_official,2024,2024-01-16,AMD,2,2024-01-18,77.1881142328601,False
logit_plus_kazakhstan_official,2024,2024-01-16,AMD,3,2024-01-19,118.2101977107175,False
logit_plus_kazakhstan_official,2024,2024-01-16,AMD,5,2024-01-23,42.08579026476977,False
logit_plus_kazakhstan_official,2024,2024-01-20,AMD,1,2024-01-23,-63.06260954725862,False
logit_plus_kazakhstan_official,2024,2024-01-20,AMD,2,2024-01-24,-68.23392658560468,False
logit_plus_kazakhstan_official,2024,2024-01-20,AMD,3,2024-01-25,-18.351310905987404,False
logit_plus_kazakhstan_official,2024,2024-01-20,AMD,5,2024-01-27,149.87666637682918,False
logit_plus_kazakhstan_official,2024,2024-01-26,AMD,1,2024-01-27,111.97636459796101,False
logit_plus_kazakhstan_official,2024,2024-01-26,AMD,2,2024-01-30,117.49311545966812,False
